film_id,title,actor_id,actor_full_name,num_actors_per_film,num_films_per_actor
958,WARDROBE PHANTOM,2,nick wahlberg,8,25
17,ALONE TRIP,3,ed chase,8,22
40,ARMY FLINTSTONES,3,ed chase,7,22
42,ARTIST COLDBLOODED,3,ed chase,7,22
87,BOONDOCK BALLROOM,3,ed chase,13,22
111,CADDYSHACK JEDI,3,ed chase,7,22
185,COWBOY DOOM,3,ed chase,5,22
289,EVE RESURRECTION,3,ed chase,6,22
329,FORREST SONS,3,ed chase,5,22
336,FRENCH HOLIDAY,3,ed chase,7,22
341,FROST HEAD,3,ed chase,7,22
393,HALLOWEEN NUTS,3,ed chase,7,22
441,HUNTER ALTER,3,ed chase,4,22
453,IMAGE PRINCESS,3,ed chase,11,22
480,JEEPERS WEDDING,3,ed chase,6,22
539,LUCK OPUS,3,ed chase,6,22
618,NECKLACE OUTBREAK,3,ed chase,8,22
685,PLATOON INSTINCT,3,ed chase,5,22
827,SPICE SORORITY,3,ed chase,11,22
966,WEDDING APOLLO,3,ed chase,10,22
967,WEEKEND PERSONAL,3,ed chase,10,22
971,WHALE BIKINI,3,ed chase,5,22
996,YOUNG LANGUAGE,3,ed chase,5,22
23,ANACONDA CONFESSIONS,4,jennifer davis,5,22
25,ANGELS LIFE,4,jennifer davis,9,22
56,BAREFOOT MANCHURIAN,4,jennifer davis,8,22
62,BED HIGHBALL,4,jennifer davis,5,22
79,BLADE POLISH,4,jennifer davis,5,22
87,BOONDOCK BALLROOM,4,jennifer davis,13,22
355,GHOSTBUSTERS ELF,4,jennifer davis,1,22
379,GREEDY ROOTS,4,jennifer davis,8,22
398,HANOVER GALAXY,4,jennifer davis,7,22
463,INSTINCT AIRPORT,4,jennifer davis,11,22
490,JUMANJI BLADE,4,jennifer davis,6,22
616,NATIONAL STORY,4,jennifer davis,7,22
635,OKLAHOMA JUMANJI,4,jennifer davis,9,22
691,POSEIDON FOREVER,4,jennifer davis,6,22
712,RAIDERS ANTITRUST,4,jennifer davis,6,22
714,RANDOM GO,4,jennifer davis,13,22
721,REDS POCUS,4,jennifer davis,5,22
798,SILVERADO GOLDFINGER,4,jennifer davis,5,22
832,SPLASH GUMP,4,jennifer davis,10,22
858,SUBMARINE BED,4,jennifer davis,11,22
909,TREASURE COMMAND,4,jennifer davis,7,22
924,UNFORGIVEN ZOOLANDER,4,jennifer davis,7,22
19,AMADEUS HOLY,5,johnny lollobrigida,6,29
54,BANGER PINOCCHIO,5,johnny lollobrigida,6,29
85,BONNIE HOLOCAUST,5,johnny lollobrigida,9,29
146,CHITTY LOCK,5,johnny lollobrigida,13,29
171,COMMANDMENTS EXPRESS,5,johnny lollobrigida,4,29
172,CONEHEADS SMOOCHY,5,johnny lollobrigida,9,29
202,DADDY PITTSBURGH,5,johnny lollobrigida,5,29
203,DAISY MENAGERIE,5,johnny lollobrigida,7,29
286,ENOUGH RAGING,5,johnny lollobrigida,9,29
288,ESCAPE METROPOLIS,5,johnny lollobrigida,4,29
316,FIRE WOLVES,5,johnny lollobrigida,5,29
340,FRONTIER CABIN,5,johnny lollobrigida,6,29
369,GOODFELLAS SALUTE,5,johnny lollobrigida,8,29
375,GRAIL FRANKENSTEIN,5,johnny lollobrigida,5,29
383,GROOVE FICTION,5,johnny lollobrigida,7,29
392,HALL CASSIDY,5,johnny lollobrigida,5,29
411,HEAVENLY GUN,5,johnny lollobrigida,6,29
503,KRAMER CHOCOLATE,5,johnny lollobrigida,8,29
535,LOVE SUICIDES,5,johnny lollobrigida,4,29
571,METAL ARMAGEDDON,5,johnny lollobrigida,8,29
650,PACIFIC AMISTAD,5,johnny lollobrigida,8,29
665,PATTON INTERVIEW,5,johnny lollobrigida,9,29
687,POCUS PULP,5,johnny lollobrigida,5,29
730,RIDGEMONT SUBMARINE,5,johnny lollobrigida,5,29
732,RINGS HEARTBREAKERS,5,johnny lollobrigida,11,29
811,SMILE EARRING,5,johnny lollobrigida,8,29
817,SOLDIERS EVOLUTION,5,johnny lollobrigida,9,29
841,STAR OPERATION,5,johnny lollobrigida,5,29
865,SUNRISE LEAGUE,5,johnny lollobrigida,5,29
29,ANTITRUST TOMATOES,6,bette nicholson,7,20
53,BANG KWAI,6,bette nicholson,7,20
60,BEAST HUNCHBACK,6,bette nicholson,5,20
70,BIKINI BORROWERS,6,bette nicholson,2,20
112,CALENDAR GUNFIGHT,6,bette nicholson,8,20
164,COAST RAINBOW,6,bette nicholson,10,20
165,COLDBLOODED DARLING,6,bette nicholson,4,20
193,CROSSROADS CASUALTIES,6,bette nicholson,8,20
256,DROP WATERFRONT,6,bette nicholson,8,20
451,IGBY MAKER,6,bette nicholson,5,20
503,KRAMER CHOCOLATE,6,bette nicholson,8,20
509,LANGUAGE COWBOY,6,bette nicholson,6,20
517,LESSON CLEOPATRA,6,bette nicholson,12,20
519,LIBERTY MAGNIFICENT,6,bette nicholson,7,20
605,MULHOLLAND BEAST,6,bette nicholson,6,20
692,POTLUCK MIXED,6,bette nicholson,6,20
826,SPEED SUIT,6,bette nicholson,6,20
892,TITANIC BOONDOCK,6,bette nicholson,12,20
902,TRADING PINOCCHIO,6,bette nicholson,3,20
994,WYOMING STORM,6,bette nicholson,6,20
25,ANGELS LIFE,7,grace mostel,9,30
27,ANONYMOUS HUMAN,7,grace mostel,9,30
35,ARACHNOPHOBIA ROLLERCOASTER,7,grace mostel,8,30
67,BERETS AGENT,7,grace mostel,10,30
96,BREAKING HOME,7,grace mostel,6,30
170,COMMAND DARLING,7,grace mostel,8,30
173,CONFESSIONS MAGUIRE,7,grace mostel,4,30
217,DAZED PUNK,7,grace mostel,6,30
218,DECEIVER BETRAYED,7,grace mostel,4,30
225,DESTINATION JERK,7,grace mostel,3,30
292,EXCITEMENT EVE,7,grace mostel,8,30
351,GASLIGHT CRUSADE,7,grace mostel,5,30
414,HELLFIGHTERS SIERRA,7,grace mostel,12,30
463,INSTINCT AIRPORT,7,grace mostel,11,30
554,MALKOVICH PET,7,grace mostel,7,30
618,NECKLACE OUTBREAK,7,grace mostel,8,30
633,OCTOBER SUBMARINE,7,grace mostel,5,30
637,OPEN AFRICAN,7,grace mostel,9,30
691,POSEIDON FOREVER,7,grace mostel,6,30
758,SAINTS BRIDE,7,grace mostel,10,30
766,SAVANNAH TOWN,7,grace mostel,6,30
770,SCISSORHANDS SLUMS,7,grace mostel,5,30
805,SLEEPLESS MONSOON,7,grace mostel,4,30
806,SLEEPY JAPANESE,7,grace mostel,6,30
846,STING PERSONAL,7,grace mostel,7,30
900,TOWN ARK,7,grace mostel,4,30
901,TRACY CIDER,7,grace mostel,3,30
910,TREATMENT JEKYLL,7,grace mostel,5,30
957,WAR NOTTING,7,grace mostel,9,30
959,WARLOCK WEREWOLF,7,grace mostel,6,30
47,BABY HALL,8,matthew johansson,8,20
115,CAMPUS REMEMBER,8,matthew johansson,3,20
158,CLONES PINOCCHIO,8,matthew johansson,5,20
179,CONQUERER NUTS,8,matthew johansson,6,20
195,CROWDS TELEMARK,8,matthew johansson,4,20
205,DANCES NONE,8,matthew johansson,5,20
255,DRIVING POLISH,8,matthew johansson,7,20
263,DURHAM PANKY,8,matthew johansson,9,20
321,FLASH WARS,8,matthew johansson,7,20
396,HANGING DEEP,8,matthew johansson,7,20
458,INDIAN LOVE,8,matthew johansson,10,20
523,LIGHTS DEER,8,matthew johansson,2,20
532,LOSER HUSTLER,8,matthew johansson,5,20
554,MALKOVICH PET,8,matthew johansson,7,20
752,RUNNER MADIGAN,8,matthew johansson,8,20
769,SCHOOL JACKET,8,matthew johansson,8,20
771,SCORPION APOLLO,8,matthew johansson,8,20
859,SUGAR WONKA,8,matthew johansson,5,20
895,TOMORROW HUSTLER,8,matthew johansson,6,20
936,VANISHING ROCKY,8,matthew johansson,5,20
30,ANYTHING SAVANNAH,9,joe swank,3,25
74,BIRCH ANTITRUST,9,joe swank,6,25
147,CHOCOLAT HARRY,9,joe swank,5,25
148,CHOCOLATE DUCK,9,joe swank,7,25
191,CROOKED FROGMEN,9,joe swank,6,25
200,CURTAIN VIDEOTAPE,9,joe swank,3,25
204,DALMATIONS SWEDEN,9,joe swank,6,25
434,HORROR REIGN,9,joe swank,5,25
510,LAWLESS VISION,9,joe swank,4,25
514,LEBOWSKI SOLDIERS,9,joe swank,3,25
552,MAJESTIC FLOATS,9,joe swank,5,25
650,PACIFIC AMISTAD,9,joe swank,8,25
671,PERDITION FARGO,9,joe swank,5,25
697,PRIMARY GLASS,9,joe swank,7,25
722,REEF SALUTE,9,joe swank,4,25
752,RUNNER MADIGAN,9,joe swank,8,25
811,SMILE EARRING,9,joe swank,8,25
815,SNATCHERS MONTEZUMA,9,joe swank,9,25
865,SUNRISE LEAGUE,9,joe swank,5,25
873,SWEETHEARTS SUSPECTS,9,joe swank,5,25
889,TIES HUNGER,9,joe swank,6,25
903,TRAFFIC HOBBIT,9,joe swank,4,25
926,UNTOUCHABLES SUNRISE,9,joe swank,5,25
964,WATERFRONT DELIVERANCE,9,joe swank,6,25
974,WILD APOLLO,9,joe swank,4,25
1,ACADEMY DINOSAUR,10,christian gable,10,22
9,ALABAMA DEVIL,10,christian gable,9,22
191,CROOKED FROGMEN,10,christian gable,6,22
236,DIVINE RESURRECTION,10,christian gable,5,22
251,DRAGONFLY STRANGERS,10,christian gable,3,22
366,GOLDFINGER SENSIBILITY,10,christian gable,4,22
477,JAWBREAKER BROOKLYN,10,christian gable,5,22
480,JEEPERS WEDDING,10,christian gable,6,22
522,LIFE TWISTED,10,christian gable,8,22
530,LORD ARIZONA,10,christian gable,6,22
587,MOD SECRETARY,10,christian gable,6,22
694,PREJUDICE OLEANDER,10,christian gable,10,22
703,PUNK DIVORCE,10,christian gable,7,22
716,REAP UNFAITHFUL,10,christian gable,4,22
782,SHAKESPEARE SADDLE,10,christian gable,6,22
914,TROUBLE DATE,10,christian gable,8,22
929,USUAL UNTOUCHABLES,10,christian gable,5,22
930,VACATION BOONDOCK,10,christian gable,6,22
964,WATERFRONT DELIVERANCE,10,christian gable,6,22
966,WEDDING APOLLO,10,christian gable,10,22
980,WIZARD COLDBLOODED,10,christian gable,9,22
983,WON DARES,10,christian gable,5,22
118,CANYON STOCK,11,zero cage,6,25
205,DANCES NONE,11,zero cage,5,25
281,ENCINO ELF,11,zero cage,6,25
283,ENDING CROWDS,11,zero cage,5,25
348,GANDHI KWAI,11,zero cage,8,25
364,GODFATHER DIARY,11,zero cage,6,25
395,HANDICAP BOONDOCK,11,zero cage,7,25
429,HONEY TIES,11,zero cage,5,25
433,HORN WORKING,11,zero cage,8,25
453,IMAGE PRINCESS,11,zero cage,11,25
485,JERSEY SASSY,11,zero cage,9,25
532,LOSER HUSTLER,11,zero cage,5,25
567,MEET CHOCOLATE,11,zero cage,6,25
587,MOD SECRETARY,11,zero cage,6,25
597,MOONWALKER FOOL,11,zero cage,7,25
636,OLEANDER CLUE,11,zero cage,10,25
709,RACER EGG,11,zero cage,6,25
850,STORY SIDE,11,zero cage,5,25
854,STRANGERS GRAFFITI,11,zero cage,5,25
888,THIN SAGEBRUSH,11,zero cage,2,25
896,TOOTSIE PILOT,11,zero cage,5,25
928,UPTOWN YOUNG,11,zero cage,7,25
938,VELVET TERMINATOR,11,zero cage,9,25
969,WEST LION,11,zero cage,9,25
988,WORKER TARZAN,11,zero cage,9,25
16,ALLEY EVOLUTION,12,karl berry,5,31
17,ALONE TRIP,12,karl berry,8,31
34,ARABIA DOGMA,12,karl berry,12,31
37,ARIZONA BANG,12,karl berry,4,31
91,BOUND CHEAPER,12,karl berry,2,31
92,BOWFINGER GABLES,12,karl berry,5,31
107,BUNCH MINDS,12,karl berry,8,31
155,CLEOPATRA DEVIL,12,karl berry,7,31
177,CONNECTICUT TRAMP,12,karl berry,7,31
208,DARES PLUTO,12,karl berry,10,31
213,DATE SPEED,12,karl berry,4,31
216,DAY UNFAITHFUL,12,karl berry,5,31
243,DOORS PRESIDENT,12,karl berry,9,31
344,FURY MURDER,12,karl berry,4,31
400,HARDLY ROBBERS,12,karl berry,3,31
416,HIGHBALL POTTER,12,karl berry,5,31
420,HOLES BRANNIGAN,12,karl berry,11,31
457,INDEPENDENCE HOTEL,12,karl berry,9,31
513,LEATHERNECKS DWARFS,12,karl berry,7,31
540,LUCKY FLYING,12,karl berry,10,31
593,MONTEREY LABYRINTH,12,karl berry,6,31
631,NOVOCAINE FLIGHT,12,karl berry,6,31
635,OKLAHOMA JUMANJI,12,karl berry,9,31
672,PERFECT GROOVE,12,karl berry,6,31
716,REAP UNFAITHFUL,12,karl berry,4,31
728,REUNION WITCHES,12,karl berry,7,31
812,SMOKING BARBARELLA,12,karl berry,6,31
838,STAGECOACH ARMAGEDDON,12,karl berry,6,31
871,SWEDEN SHINING,12,karl berry,5,31
880,TELEMARK HEARTBREAKERS,12,karl berry,11,31
945,VIRGINIAN PLUTO,12,karl berry,8,31
17,ALONE TRIP,13,uma wood,8,35
29,ANTITRUST TOMATOES,13,uma wood,7,35
45,ATTRACTION NEWTON,13,uma wood,4,35
87,BOONDOCK BALLROOM,13,uma wood,13,35
110,CABIN FLASH,13,uma wood,4,35
144,CHINATOWN GLADIATOR,13,uma wood,10,35
154,CLASH FREDDY,13,uma wood,7,35
162,CLUELESS BUCKET,13,uma wood,8,35
203,DAISY MENAGERIE,13,uma wood,7,35
254,DRIVER ANNIE,13,uma wood,8,35
337,FRIDA SLIPPER,13,uma wood,5,35
346,GALAXY SWEETHEARTS,13,uma wood,3,35
381,GRINCH MASSAGE,13,uma wood,6,35
385,GROUNDHOG UNCUT,13,uma wood,7,35
427,HOMEWARD CIDER,13,uma wood,7,35
456,INCH JET,13,uma wood,5,35
513,LEATHERNECKS DWARFS,13,uma wood,7,35
515,LEGALLY SECRETARY,13,uma wood,6,35
522,LIFE TWISTED,13,uma wood,8,35
524,LION UNCUT,13,uma wood,3,35
528,LOLITA WORLD,13,uma wood,1,35
571,METAL ARMAGEDDON,13,uma wood,8,35
588,MODEL FISH,13,uma wood,8,35
597,MOONWALKER FOOL,13,uma wood,7,35
600,MOTIONS DETAILS,13,uma wood,8,35
718,REBEL AIRPORT,13,uma wood,6,35
729,RIDER CADDYSHACK,13,uma wood,9,35
816,SNOWMAN ROLLERCOASTER,13,uma wood,3,35
817,SOLDIERS EVOLUTION,13,uma wood,9,35
832,SPLASH GUMP,13,uma wood,10,35
833,SPLENDOR PATTON,13,uma wood,10,35
843,STEEL SANTA,13,uma wood,3,35
897,TORQUE BOUND,13,uma wood,5,35
966,WEDDING APOLLO,13,uma wood,10,35
998,ZHIVAGO CORE,13,uma wood,6,35
154,CLASH FREDDY,14,vivien bergen,7,30
187,CRANES RESERVOIR,14,vivien bergen,6,30
232,DIRTY ACE,14,vivien bergen,5,30
241,DONNIE ALLEY,14,vivien bergen,7,30
253,DRIFTER COMMANDMENTS,14,vivien bergen,7,30
255,DRIVING POLISH,14,vivien bergen,7,30
258,DRUMS DYNAMITE,14,vivien bergen,7,30
284,ENEMY ODDS,14,vivien bergen,4,30
292,EXCITEMENT EVE,14,vivien bergen,8,30
370,GORGEOUS BINGO,14,vivien bergen,7,30
415,HIGH ENCINO,14,vivien bergen,7,30
417,HILLS NEIGHBORS,14,vivien bergen,6,30
418,HOBBIT ALIEN,14,vivien bergen,8,30
454,IMPACT ALADDIN,14,vivien bergen,3,30
472,ITALIAN AFRICAN,14,vivien bergen,2,30
475,JAPANESE RUN,14,vivien bergen,9,30
495,KENTUCKIAN GIANT,14,vivien bergen,4,30
536,LOVELY JINGLE,14,vivien bergen,6,30
537,LOVER TRUMAN,14,vivien bergen,7,30
612,MUSSOLINI SPOILERS,14,vivien bergen,7,30
688,POLISH BROOKLYN,14,vivien bergen,10,30
759,SALUTE APOLLO,14,vivien bergen,4,30
764,SATURDAY LAMBS,14,vivien bergen,9,30
847,STOCK GLASS,14,vivien bergen,7,30
856,STREETCAR INTENTIONS,14,vivien bergen,7,30
890,TIGHTS DAWN,14,vivien bergen,5,30
908,TRAP GUYS,14,vivien bergen,7,30
919,TYCOON GATHERING,14,vivien bergen,6,30
948,VOICE PEACH,14,vivien bergen,3,30
970,WESTWARD SEABISCUIT,14,vivien bergen,6,30
31,APACHE DIVINE,15,cuba olivier,4,28
89,BORROWERS BEDAZZLED,15,cuba olivier,7,28
91,BOUND CHEAPER,15,cuba olivier,2,28
108,BUTCH PANTHER,15,cuba olivier,3,28
125,CASSIDY WYOMING,15,cuba olivier,7,28
236,DIVINE RESURRECTION,15,cuba olivier,5,28
275,EGYPT TENENBAUMS,15,cuba olivier,5,28
280,EMPIRE MALKOVICH,15,cuba olivier,9,28
326,FLYING HOOK,15,cuba olivier,8,28
342,FUGITIVE MAGUIRE,15,cuba olivier,11,28
414,HELLFIGHTERS SIERRA,15,cuba olivier,12,28
445,HYDE DOCTOR,15,cuba olivier,6,28
500,KISS GLORY,15,cuba olivier,7,28
502,KNOCK WARLOCK,15,cuba olivier,6,28
541,LUKE MUMMY,15,cuba olivier,9,28
553,MAKER GABLES,15,cuba olivier,11,28
594,MONTEZUMA COMMAND,15,cuba olivier,2,28
626,NOON PAPI,15,cuba olivier,6,28
635,OKLAHOMA JUMANJI,15,cuba olivier,9,28
745,ROSES TREASURE,15,cuba olivier,5,28
783,SHANE DARKNESS,15,cuba olivier,3,28
795,SIEGE MADRE,15,cuba olivier,7,28
817,SOLDIERS EVOLUTION,15,cuba olivier,9,28
886,THEORY MERMAID,15,cuba olivier,6,28
924,UNFORGIVEN ZOOLANDER,15,cuba olivier,7,28
949,VOLCANO TEXAS,15,cuba olivier,5,28
968,WEREWOLF LOLA,15,cuba olivier,7,28
985,WONDERLAND CHRISTMAS,15,cuba olivier,5,28
80,BLANKET BEVERLY,16,fred costner,4,27
87,BOONDOCK BALLROOM,16,fred costner,13,27
101,BROTHERHOOD BLANKET,16,fred costner,5,27
121,CAROL TEXAS,16,fred costner,7,27
155,CLEOPATRA DEVIL,16,fred costner,7,27
177,CONNECTICUT TRAMP,16,fred costner,7,27
218,DECEIVER BETRAYED,16,fred costner,4,27
221,DELIVERANCE MULHOLLAND,16,fred costner,3,27
267,EAGLES PANKY,16,fred costner,6,27
269,EARRING INSTINCT,16,fred costner,5,27
271,EASY GLADIATOR,16,fred costner,3,27
280,EMPIRE MALKOVICH,16,fred costner,9,27
287,ENTRAPMENT SATISFACTION,16,fred costner,4,27
345,GABLES METROPOLIS,16,fred costner,8,27
438,HUMAN GRAFFITI,16,fred costner,4,27
453,IMAGE PRINCESS,16,fred costner,11,27
455,IMPOSSIBLE PREJUDICE,16,fred costner,3,27
456,INCH JET,16,fred costner,5,27
503,KRAMER CHOCOLATE,16,fred costner,8,27
548,MAGNIFICENT CHITTY,16,fred costner,7,27
582,MIRACLE VIRTUAL,16,fred costner,1,27
583,MISSION ZOOLANDER,16,fred costner,5,27
717,REAR TRADING,16,fred costner,8,27
758,SAINTS BRIDE,16,fred costner,10,27
779,SENSE GREEK,16,fred costner,7,27
886,THEORY MERMAID,16,fred costner,6,27
967,WEEKEND PERSONAL,16,fred costner,10,27
96,BREAKING HOME,17,helen voight,6,32
119,CAPER MOTIONS,17,helen voight,7,32
124,CASPER DRAGONFLY,17,helen voight,5,32
127,CAT CONEHEADS,17,helen voight,4,32
154,CLASH FREDDY,17,helen voight,7,32
199,CUPBOARD SINNERS,17,helen voight,8,32
201,CYCLONE FAMILY,17,helen voight,3,32
236,DIVINE RESURRECTION,17,helen voight,5,32
280,EMPIRE MALKOVICH,17,helen voight,9,32
310,FEVER EMPIRE,17,helen voight,3,32
313,FIDELITY DEVIL,17,helen voight,4,32
378,GREATEST NORTH,17,helen voight,6,32
457,INDEPENDENCE HOTEL,17,helen voight,9,32
469,IRON MOON,17,helen voight,8,32
478,JAWS HARRY,17,helen voight,5,32
500,KISS GLORY,17,helen voight,7,32
515,LEGALLY SECRETARY,17,helen voight,6,32
521,LIES TREATMENT,17,helen voight,7,32
573,MICROCOSMOS PARADISE,17,helen voight,6,32
603,MOVIE SHAKESPEARE,17,helen voight,8,32
606,MUMMY CREATURES,17,helen voight,13,32
734,ROAD ROXANNE,17,helen voight,8,32
770,SCISSORHANDS SLUMS,17,helen voight,5,32
794,SIDE ARK,17,helen voight,6,32
800,SINNERS ATLANTIS,17,helen voight,4,32
853,STRANGER STRANGERS,17,helen voight,9,32
873,SWEETHEARTS SUSPECTS,17,helen voight,5,32
874,TADPOLE PARK,17,helen voight,8,32
880,TELEMARK HEARTBREAKERS,17,helen voight,11,32
948,VOICE PEACH,17,helen voight,3,32
957,WAR NOTTING,17,helen voight,9,32
959,WARLOCK WEREWOLF,17,helen voight,6,32
44,ATTACKS HATE,18,dan torn,4,22
84,BOILED DARES,18,dan torn,8,22
144,CHINATOWN GLADIATOR,18,dan torn,10,22
172,CONEHEADS SMOOCHY,18,dan torn,9,22
268,EARLY HOME,18,dan torn,6,22
279,ELIZABETH SHANE,18,dan torn,3,22
280,EMPIRE MALKOVICH,18,dan torn,9,22
321,FLASH WARS,18,dan torn,7,22
386,GUMP DATE,18,dan torn,6,22
460,INNOCENT USUAL,18,dan torn,3,22
462,INSIDER ARIZONA,18,dan torn,9,22
484,JERK PAYCHECK,18,dan torn,8,22
536,LOVELY JINGLE,18,dan torn,6,22
561,MASK PEACH,18,dan torn,11,22
612,MUSSOLINI SPOILERS,18,dan torn,7,22
717,REAR TRADING,18,dan torn,8,22
808,SLING LUKE,18,dan torn,3,22
842,STATE WASTELAND,18,dan torn,7,22
863,SUN CONFESSIONS,18,dan torn,5,22
883,TEQUILA PAST,18,dan torn,3,22
917,TUXEDO MILE,18,dan torn,3,22
944,VIRGIN DAISY,18,dan torn,8,22
2,ACE GOLDFINGER,19,bob fawcett,4,25
3,ADAPTATION HOLES,19,bob fawcett,5,25
144,CHINATOWN GLADIATOR,19,bob fawcett,10,25
152,CIRCUS YOUTH,19,bob fawcett,2,25
182,CONTROL ANTHEM,19,bob fawcett,3,25
208,DARES PLUTO,19,bob fawcett,10,25
212,DARN FORRESTER,19,bob fawcett,9,25
217,DAZED PUNK,19,bob fawcett,6,25
266,DYNAMITE TARZAN,19,bob fawcett,5,25
404,HATE HANDICAP,19,bob fawcett,3,25
428,HOMICIDE PEACH,19,bob fawcett,8,25
473,JACKET FRISCO,19,bob fawcett,10,25
490,JUMANJI BLADE,19,bob fawcett,6,25
510,LAWLESS VISION,19,bob fawcett,4,25
513,LEATHERNECKS DWARFS,19,bob fawcett,7,25
644,OSCAR GOLD,19,bob fawcett,6,25
670,PELICAN COMFORTS,19,bob fawcett,5,25
673,PERSONAL LADYBUGS,19,bob fawcett,9,25
711,RAGING AIRPLANE,19,bob fawcett,3,25
750,RUN PACIFIC,19,bob fawcett,6,25
752,RUNNER MADIGAN,19,bob fawcett,8,25
756,SADDLE ANTITRUST,19,bob fawcett,3,25
771,SCORPION APOLLO,19,bob fawcett,8,25
785,SHAWSHANK BUBBLE,19,bob fawcett,10,25
877,TAXI KICK,19,bob fawcett,6,25
1,ACADEMY DINOSAUR,20,lucille tracy,10,30
54,BANGER PINOCCHIO,20,lucille tracy,6,30
63,BEDAZZLED MARRIED,20,lucille tracy,7,30
140,CHEAPER CLYDE,20,lucille tracy,2,30
146,CHITTY LOCK,20,lucille tracy,13,30
165,COLDBLOODED DARLING,20,lucille tracy,4,30
231,DINOSAUR SECRETARY,20,lucille tracy,6,30
243,DOORS PRESIDENT,20,lucille tracy,9,30
269,EARRING INSTINCT,20,lucille tracy,5,30
274,EGG IGBY,20,lucille tracy,5,30
348,GANDHI KWAI,20,lucille tracy,8,30
366,GOLDFINGER SENSIBILITY,20,lucille tracy,4,30
445,HYDE DOCTOR,20,lucille tracy,6,30
478,JAWS HARRY,20,lucille tracy,5,30
492,JUNGLE CLOSER,20,lucille tracy,6,30
499,KING EVOLUTION,20,lucille tracy,6,30
527,LOLA AGENT,20,lucille tracy,6,30
531,LOSE INCH,20,lucille tracy,4,30
538,LOVERBOY ATTACKS,20,lucille tracy,9,30
589,MODERN DORADO,20,lucille tracy,5,30
643,ORIENT CLOSER,20,lucille tracy,4,30
652,PAJAMA JAWBREAKER,20,lucille tracy,5,30
663,PATIENT SISTER,20,lucille tracy,4,30
714,RANDOM GO,20,lucille tracy,13,30
717,REAR TRADING,20,lucille tracy,8,30
757,SAGEBRUSH CLUELESS,20,lucille tracy,7,30
784,SHANGHAI TYCOON,20,lucille tracy,8,30
863,SUN CONFESSIONS,20,lucille tracy,5,30
962,WASTELAND DIVINE,20,lucille tracy,6,30
977,WINDOW SIDE,20,lucille tracy,4,30
6,AGENT TRUMAN,21,kirsten paltrow,7,27
87,BOONDOCK BALLROOM,21,kirsten paltrow,13,27
88,BORN SPINAL,21,kirsten paltrow,9,27
142,CHICKEN HELLFIGHTERS,21,kirsten paltrow,2,27
159,CLOSER BANG,21,kirsten paltrow,6,27
179,CONQUERER NUTS,21,kirsten paltrow,6,27
253,DRIFTER COMMANDMENTS,21,kirsten paltrow,7,27
281,ENCINO ELF,21,kirsten paltrow,6,27
321,FLASH WARS,21,kirsten paltrow,7,27
398,HANOVER GALAXY,21,kirsten paltrow,7,27
426,HOME PITY,21,kirsten paltrow,6,27
429,HONEY TIES,21,kirsten paltrow,5,27
497,KILL BROTHERHOOD,21,kirsten paltrow,5,27
